id,surname,forename,initials,age_text,honours,date_of_death,date_of_death2,rank,regiment,secondary_regiment,unitshipsquadron,country,servicenumberexport,cemeterymemorial,gravereference,additionalinformation,
1282766,THACKER,PHILIP,P,24,,13/08/1941,,Sergeant,Royal Air Force Volunteer Reserve,,113 Sqdn.,Egypt,'908657',ALAMEIN MEMORIAL,Column 244.,"Son of Francis James Thacker, and of Alice Mary Thacker, of Bushey, Hertfordshire."
1282767,THACKER,WILLIAM CHARLES,W C,35,,21/02/1945,,Sergeant,Royal Air Force Volunteer Reserve,,,Egypt,'2207701',ALAMEIN MEMORIAL,Column 284.,"Son of Mr. and Mrs. William Thacker; husband of F. I. Thacker, of Westcliff-on-Sea, Essex."
1482155,THACKER,JOHN,J,23,,27/09/1917,,Lance Corporal,Royal Engineers,,71st Field Coy.,India,'89310',KIRKEE 1914-1918 MEMORIAL,Face B.,"Son of David and Sarah Ann Thacker, of Blyton, Gainsborough; husband of Elizabeth Thacker, of Hemswell, Lincolnshire."
1533409,THACKER,WALTER LOUIS,W L,33,,01/09/1944,,Flying Officer,Royal Air Force Volunteer Reserve,,17 Sqdn.,Malta,'131160',MALTA MEMORIAL,"Panel 13, Column 2.","Son of Louis and Anne Thacker, of Leyland, Lancashire; husband of Margaret Thacker, of Upper Beeding, Sussex."
1562949,THACKER,HERBERT EDWIN,H E,31,,10/03/1915,,Private,Northamptonshire Regiment,,2nd Bn.,France,'8608',LE TOURET MEMORIAL,Panel 28 to 30.,"Son of Dennis and Elizabeth Thacker, of Clipston, Market Harborough."
161224,THACKER,WILFRED FRANCIS,W F,25,,13/01/1918,,Acting Bombardier,Royal Field Artillery,,33rd Bty. 33rd Bde.,Belgium,'159881',DOCHY FARM NEW BRITISH CEMETERY,VI. C. 24.,"Son of the late Frank Thacker, of Birmingham; husband of Ethel Thacker, of 16, Nelson Rd., Aston, Birmingham."
1626088,THACKER,CHARLES ALBERT,C A,30,,01/11/1914,,Private,Lincolnshire Regiment,,1st Bn.,Belgium,'6159',YPRES (MENIN GATE) MEMORIAL,Panel 21.,"Husband of Ellen Hayes (formerly Thacker), of Huttoft, Alford, Lincs."
1626089,THACKER,SAMUEL,S,36,,29/10/1914,,Private,South Staffordshire Regiment,,1st Bn.,Belgium,'7833',YPRES (MENIN GATE) MEMORIAL,Panel 35 and 37.,"Son of Samuel Thacker, of 5, Middle Cross St., Wolverhampton."
1626090,THACKER,WILLIAM,W,,,31/07/1917,,Rifleman,Rifle Brigade,,2nd Bn.,Belgium,'3986',YPRES (MENIN GATE) MEMORIAL,Panel 46 - 48 and 50.,
1648119,THACKER,HERBERT LANE,H L,,M M,15/04/1917,,Second Lieutenant,Army Service Corps,,,Greece,,MIKRA MEMORIAL,,
172606,THACKER,,J,,,03/06/1916,,Private,Northamptonshire Regiment,,5th Bn.,France,'17364',"ST. SEVER CEMETERY, ROUEN",A. 21. 33.,
1770523,THACKER,NELSON,N,,,13/10/1915,,Private,Black Watch (Royal Highlanders),,1st Bn.,France,'S/10251',LOOS MEMORIAL,Panel 78 to 83.,
201852,THACKER,,J,,,14/02/1916,,Sapper,Royal Engineers,,130th Field Coy.,France,'95237',"BAILLEUL COMMUNAL CEMETERY EXTENSION, NORD",II. C. 135.,
201853,THACKER,,W,,,05/05/1915,,Private,Cambridgeshire Regiment,,1st Bn.,France,'1953',"BAILLEUL COMMUNAL CEMETERY EXTENSION, NORD",I. E. 176.,
2045616,THACKER,ARTHUR BENJAMIN,A B,38,,20/06/1944,,Driver,Royal Army Service Corps,,723 Gen. Transport Coy.,France,'T/1713904',"RYES WAR CEMETERY, BAZENVILLE",III. D. 1.,"Son of Arthur John Thacker, and of Kate Thacker, of Ramsgate, Kent."
2049230,THACKER,WILLIAM ALLAN,W A,26,,30/07/1944,,Driver,Royal Army Service Corps,,,Italy,'T/110339',ASSISI WAR CEMETERY,"VII, G, 8.","Son of Walter William and Charlotte Thacker; husband of Edith Mabel Thacker, of Middlesbrough, Yorkshire."
205189,THACKER,HERBERT,H,25,,17/03/1916,,Private,East Surrey Regiment,,8th Bn.,France,'5103',"ST. PIERRE CEMETERY, AMIENS",I. C. 3.,"Son of Mr. and Mrs. G. Thacker, of Rackheath, Norwich; husband of Minnie Thacker, of East Bradenham, Thetford, Norfolk."
205190,THACKER,,W A,,,15/04/1917,,Sapper,Royal Engineers,,"""L"" Signal Bn.",France,'48655',"ST. PIERRE CEMETERY, AMIENS",VII. C. 3.,"Husband of Mrs. E. Thacker, of 10, Pool Rd., Smethwick, Staffs."
2066798,THACKER,JOE,J,24,,13/07/1943,,Lance Corporal,Royal Engineers,,38 Field Coy.,Italy,'2004325',"SYRACUSE WAR CEMETERY, SICILY",VIII. B. 2.,"Son of Joe and Elsie Thacker, of Chester Road, Warwickshire."
2098867,THACKER,HERBERT HUGH,H H,27,,08/02/1944,,Corporal,"Reconnaissance Corps, R.A.C.",,1st Regt.,Italy,'4979686',CASSINO MEMORIAL,Panel 1.,"Son of Hugh Frederick and Minnie Thacker, of Derby."
2148329,THACKER,JOHN THOMAS,J T,,,12/02/1942,,Lance Bombardier,Royal Artillery,,"111 Bty., 39 Lt. A.A. Regt.",United Kingdom,'1735678',BROOKWOOD 1939-1945 MEMORIAL,Panel 3. Column 1.,
2148330,THACKER,WALTER CECIL,W C,37,,17/06/1943,,Warrant Officer Class II,Royal Engineers,,1018 Docks Operating Coy.,United Kingdom,'2197774',BROOKWOOD 1939-1945 MEMORIAL,Panel 4. Column 3.,"Husband of Doris Thacker, of Hull."
2210004,THACKER,GEORGE DAVID,G D,52,,25/02/1943,,Lieutenant,Royal Electrical and Mechanical Engineers,,,Egypt,'131438',HELIOPOLIS WAR CEMETERY,3. C. 21.,"Son of George and Susan Thacker; husband of Lettice Thacker, of Carmarthen."
2278552,THACKER,EDWIN,E,35,,28/05/1940,03/06/1940,Serjeant,Pioneer Corps,,Aux. Mil.,France,'5098566',BOULOGNE EASTERN CEMETERY,Plot 13. Row A. Grave 17.,"Husband of Ethel Thacker, of Brookfields, Birmingham."
2364047,THACKER,SAMUEL EDWARD,S E,21,,29/11/1940,,Cook,Merchant Navy,,Tug Aid (London),United Kingdom,,TOWER HILL MEMORIAL,Panel 4.,
2364048,THACKER,WILLIAM GEORGE,W G,34,,20/11/1939,,Cook,Fishing Fleet,,Steam Trawler William Humphries (London),United Kingdom,,TOWER HILL MEMORIAL,Panel 129.,
2390055,THACKER,GEORGE LEONARD,G L,27,,19/04/1945,,Guardsman,Coldstream Guards,,5th Bn.,Germany,'2660094',BECKLINGEN WAR CEMETERY,3. D. 11.,
2416800,THACKER,JOHN HERBERT,J H,28,,01/02/1942,,Corporal,Royal Air Force Volunteer Reserve,,,United Kingdom,'952097',BOSTON CEMETERY,Sec. 6. Grave 53.,"Son of Herbert and Jane Thacker, of Boston."
2456547,THACKER,HENRY SAMUEL,H S,24,,30/10/1940,,Seaman,Royal Naval Patrol Service,,H.M. Trawler Skudd V.,United Kingdom,'LT/JX 203666',GREENOCK CEMETERY,I. Recess. Queen Victoria Ground. Coll. grave 39.,"Son of Samuel Urban Thacker, and of Dorothy Annie Thacker, of Toft Monks, Norfolk."
2473179,THACKER,GEORGE JOHN,G J,,,10/01/1941,,Ordinary Seaman,Royal Navy,,H.M.S. Gallant,United Kingdom,'C/JX 187692',CHATHAM NAVAL MEMORIAL,"45, 1.",
2473180,THACKER,PERCY FRANK GEORGE,P F G,26,,06/07/1944,,Ordnance Artificer 4th Class,Royal Navy,,H.M.S. Trollope,United Kingdom,'C/MX 96264',CHATHAM NAVAL MEMORIAL,"78, 2.","Son of Percy Frank and Matilda Emma Thacker; husband of Kathleen Ruth Thacker, of Dollis Hill, Middlesex."
2488779,THACKER,CHARLES ERNEST,C E,23,,19/12/1941,,Able Seaman,Royal Navy,,H.M.S. Neptune,United Kingdom,'D/JX 165540',PLYMOUTH NAVAL MEMORIAL,"Panel 48, Column 3.","Son of Charles Ernest and Hannah Thacker, of Brampton, Derbyshire."
